candidate id,candidate name,father,group,other,test id,test,sub_verbalability,sub_currentaffairs,sub_generalscience,sub_numericalability,sub_socialscience,total,test rank,group rank,percentage
1803118,,,,,118,PBU Final Exam,28,16,26,4,5,79,82,0,24.688
1803119,,,,,118,PBU Final Exam,33,19,30,4,2,88,73,0,27.5
1803120,,,,,118,PBU Final Exam,33,15,31,17,10,106,56,0,33.125
1803121,,,,,118,PBU Final Exam,28,6,7,-1,5,45,113,0,14.062
1803122,,,,,118,PBU Final Exam,35,15,15,10,20,95,66,0,29.688
1803123,,,,,118,PBU Final Exam,30,20,21,20,5,96,65,0,30
1803124,,,,,118,PBU Final Exam,40,35,10,5,0,90,71,0,28.125
1803126,,,,,118,PBU Final Exam,35,5,30,10,15,95,66,0,29.688
1803127,,,,,118,PBU Final Exam,40,35,10,0,10,95,66,0,29.688
1803128,,,,,118,PBU Final Exam,40,20,5,1,5,71,89,0,22.188
1803129,,,,,118,PBU Final Exam,30,35,15,20,5,105,57,0,32.812
1803130,,,,,118,PBU Final Exam,30,35,25,15,5,110,53,0,34.375
1803131,,,,,118,PBU Final Exam,30,45,-5,15,5,90,71,0,28.125
1803132,,,,,118,PBU Final Exam,30,0,20,31,15,96,65,0,30
1803133,,,,,118,PBU Final Exam,15,15,25,10,5,70,90,0,21.875
1803134,,,,,118,PBU Final Exam,10,5,20,15,5,55,105,0,17.188
1803135,,,,,118,PBU Final Exam,25,10,-5,10,0,40,118,0,12.5
1803136,,,,,118,PBU Final Exam,36,27,40,5,10,118,46,0,36.875
1801981,,,,,118,PBU Final Exam,-10,-13,-11,-8,-6,-48,159,0,0
1801889,,,,,118,PBU Final Exam,15,5,15,25,10,70,90,0,21.875
1801874,,,,,118,PBU Final Exam,30,45,-5,15,5,90,71,0,28.125
1801872,,,,,118,PBU Final Exam,30,0,20,31,15,96,65,0,30
1802810,,,,,118,PBU Final Exam,15,15,25,10,5,70,90,0,21.875
