CANDIDATE ID,CANDIDATE NAME,FATHER,GROUP,OTHER,Test ID,Test,sub_Verbal Ability,sub_Current Affairs,Sub_General Science,Sub_Numerical Ability,Sub_Social Science,Total,Test Rank,Group Rank,Percentage
6118,,,,,125,PBU 2020,55,30,15,40,25,165,21,0,51.562
6120,,,,,125,PBU 2020,40,45,10,40,30,165,21,0,51.562
6121,,,,,125,PBU 2020,70,60,15,20,30,195,5,0,60.938
6122,,,,,125,PBU 2020,13,7,0,15,-4,31,135,0,9.688
6123,,,,,125,PBU 2020,30,35,15,5,10,95,81,0,29.688
6124,,,,,125,PBU 2020,25,15,-5,1,10,46,126,0,14.375
6126,,,,,125,PBU 2020,40,20,0,0,-10,50,122,0,15.625
6128,,,,,125,PBU 2020,35,5,5,-5,0,40,130,0,12.5
6129,,,,,125,PBU 2020,10,15,-5,10,20,50,122,0,15.625
6131,,,,,125,PBU 2020,70,30,15,25,20,160,25,0,50
6132,,,,,125,PBU 2020,0,10,5,-5,5,15,149,0,4.688
6133,,,,,125,PBU 2020,30,5,0,15,5,55,118,0,17.188
6134,,,,,125,PBU 2020,40,15,5,5,10,75,99,0,23.438
6135,,,,,125,PBU 2020,60,25,15,50,25,175,13,0,54.688
6136,,,,,125,PBU 2020,40,35,5,-4,5,81,93,0,25.312
6137,,,,,125,PBU 2020,45,42,15,3,19,124,54,0,38.75
6138,,,,,125,PBU 2020,40,15,0,40,10,105,72,0,32.812
6140,,,,,125,PBU 2020,10,5,0,2,-5,12,150,0,3.75
6141,,,,,125,PBU 2020,15,-15,0,25,5,30,136,0,9.375
6142,,,,,125,PBU 2020,40,15,5,15,10,85,89,0,26.562
6143,,,,,125,PBU 2020,40,10,20,5,25,100,77,0,31.25
6144,,,,,125,PBU 2020,34,33,18,9,15,109,68,0,34.062
6145,,,,,125,PBU 2020,50,24,2,12,5,93,83,0,29.062
6146,,,,,125,PBU 2020,40,35,10,0,25,110,67,0,34.375
6148,,,,,125,PBU 2020,40,6,15,20,16,97,79,0,30.312
6150,,,,,125,PBU 2020,50,35,15,-10,15,105,72,0,32.812
6151,,,,,125,PBU 2020,35,20,5,5,5,70,104,0,21.875
6152,,,,,125,PBU 2020,35,30,15,10,10,100,77,0,31.25
6153,,,,,125,PBU 2020,60,50,5,20,5,140,39,0,43.75
6154,,,,,125,PBU 2020,31,31,22,17,28,129,49,0,40.312
6155,,,,,125,PBU 2020,45,26,5,15,15,106,71,0,33.125
6157,,,,,125,PBU 2020,0,-10,15,5,5,15,149,0,4.688
6158,,,,,125,PBU 2020,51,30,5,0,5,91,85,0,28.438
6159,,,,,125,PBU 2020,40,25,15,20,5,105,72,0,32.812
6160,,,,,125,PBU 2020,40,30,15,0,10,95,81,0,29.688
6161,,,,,125,PBU 2020,20,15,-5,10,25,65,109,0,20.312
6162,,,,,125,PBU 2020,45,5,0,7,10,67,107,0,20.938
6163,,,,,125,PBU 2020,15,15,5,10,15,60,113,0,18.75
6164,,,,,125,PBU 2020,38,7,20,16,25,106,71,0,33.125
6165,,,,,125,PBU 2020,50,-5,10,0,5,60,113,0,18.75
6166,,,,,125,PBU 2020,35,30,15,-5,10,85,89,0,26.562
6167,,,,,125,PBU 2020,50,35,15,10,-5,105,72,0,32.812
6168,,,,,125,PBU 2020,51,22,26,25,25,149,31,0,46.562
6169,,,,,125,PBU 2020,40,35,30,36,35,176,12,0,55
6169_1,,,,,125,PBU 2020,15,0,10,5,25,55,118,0,17.188
6170,,,,,125,PBU 2020,30,25,5,10,15,85,89,0,26.562
6172,,,,,125,PBU 2020,50,25,16,0,20,111,66,0,34.688
6175,,,,,125,PBU 2020,25,15,0,20,10,70,104,0,21.875
6176,,,,,125,PBU 2020,35,35,0,15,10,95,81,0,29.688
6177,,,,,125,PBU 2020,55,30,15,0,15,115,62,0,35.938
6178,,,,,125,PBU 2020,45,20,21,0,15,101,76,0,31.562
6179,,,,,125,PBU 2020,50,25,21,-5,21,112,65,0,35
