candidate id,candidate name,father,group,other,test id,test,current affairs,general science,total,test rank,group rank,percentage
1800510,,,,,116,GK18,40,40,80,63,0,20
1800511,,,,,116,GK18,20,65,85,58,0,21.25
1800513,,,,,116,GK18,30,82,112,33,0,28
1800514,,,,,116,GK18,25,70,95,48,0,23.75
1800516,,,,,116,GK18,51,86,137,10,0,34.25
1800517,,,,,116,GK18,35,61,96,47,0,24
1800518,,,,,116,GK18,55,80,135,11,0,33.75
1800523,,,,,116,GK18,40,75,115,30,0,28.75
1800528,,,,,116,GK18,10,55,65,78,0,16.25
1800530,,,,,116,GK18,20,60,80,63,0,20
1800531,,,,,116,GK18,53,73,126,19,0,31.5
1800532,,,,,116,GK18,15,30,45,98,0,11.25
1800534,,,,,116,GK18,24,44,68,75,0,17
1800535,,,,,116,GK18,37,80,117,28,0,29.25
1800536,,,,,116,GK18,20,5,25,115,0,6.25
1800537,,,,,116,GK18,10,10,20,119,0,5
1800540,,,,,116,GK18,5,50,55,88,0,13.75
1800541,,,,,116,GK18,55,60,115,30,0,28.75
1800545,,,,,116,GK18,5,50,55,88,0,13.75
1800548,,,,,116,GK18,23,62,85,58,0,21.25
1800549,,,,,116,GK18,6,32,38,104,0,9.5
1800551,,,,,116,GK18,23,79,102,41,0,25.5
1800553,,,,,116,GK18,64,58,122,23,0,30.5
1800554,,,,,116,GK18,22,55,77,66,0,19.25
1800556,,,,,116,GK18,0,80,80,63,0,20
1800558,,,,,116,GK18,19,50,69,74,0,17.25
1800563,,,,,116,GK18,20,45,65,78,0,16.25
1800564,,,,,116,GK18,5,45,50,93,0,12.5
1800565,,,,,116,GK18,20,30,50,93,0,12.5
1800566,,,,,116,GK18,35,45,80,63,0,20
1800570,,,,,116,GK18,27,68,95,48,0,23.75
1800571,,,,,116,GK18,61,72,133,13,0,33.25
1800573,,,,,116,GK18,30,10,40,102,0,10
1800575,,,,,116,GK18,5,35,40,102,0,10
1800576,,,,,116,GK18,0,30,30,110,0,7.5
1800581,,,,,116,GK18,20,55,75,68,0,18.75
1800582,,,,,116,GK18,10,30,40,102,0,10
1800583,,,,,116,GK18,35,31,66,77,0,16.5
1800585,,,,,116,GK18,15,45,60,83,0,15
1800586,,,,,116,GK18,25,15,40,102,0,10
1800587,,,,,116,GK18,61,100,161,3,0,40.25
1800611,,,,,116,GK18,41,45,86,57,0,21.5
1800612,,,,,116,GK18,31,44,75,68,0,18.75
1800613,,,,,116,GK18,16,30,46,97,0,11.5
1800614,,,,,116,GK18,-5,20,15,123,0,3.75
1800615,,,,,116,GK18,9,16,25,115,0,6.25
1800616,,,,,116,GK18,14,7,21,118,0,5.25
1800617,,,,,116,GK18,31,45,76,67,0,19
1800618,,,,,116,GK18,8,28,36,106,0,9
1800619,,,,,116,GK18,18,39,57,86,0,14.25
1800620,,,,,116,GK18,10,9,19,120,0,4.75
1800621,,,,,116,GK18,30,50,80,63,0,20
1800622,,,,,116,GK18,-10,18,8,130,0,2
1800623,,,,,116,GK18,15,18,33,108,0,8.25
1800624,,,,,116,GK18,0,25,25,115,0,6.25
1800628,,,,,116,GK18,34,68,102,41,0,25.5
1800630,,,,,116,GK18,2,21,23,117,0,5.75
1800631,,,,,116,GK18,5,5,10,128,0,2.5
1800632,,,,,116,GK18,45,70,115,30,0,28.75
1800633,,,,,116,GK18,12,34,46,97,0,11.5
1800634,,,,,116,GK18,34,63,97,46,0,24.25
1800635,,,,,116,GK18,22,25,47,96,0,11.75
1800636,,,,,116,GK18,46,41,87,56,0,21.75
1800641,,,,,116,GK18,20,45,65,78,0,16.25
1800643,,,,,116,GK18,25,25,50,93,0,12.5
1800644,,,,,116,GK18,-10,10,0,136,0,0
1800645,,,,,116,GK18,5,-9,-4,140,0,0
1800647,,,,,116,GK18,23,17,40,102,0,10
1800661,,,,,116,GK18,23,14,37,105,0,9.25
1800662,,,,,116,GK18,-15,13,-2,138,0,0
1800664,,,,,116,GK18,20,55,75,68,0,18.75
1800665,,,,,116,GK18,29,69,98,45,0,24.5
1800666,,,,,116,GK18,32,52,84,59,0,21
1800667,,,,,116,GK18,38,39,77,66,0,19.25
1800669,,,,,116,GK18,29,70,99,44,0,24.75
1800670,,,,,116,GK18,45,27,72,71,0,18
1800676,,,,,116,GK18,8,66,74,69,0,18.5
1800678,,,,,116,GK18,-2,0,-2,138,0,0
1800682,,,,,116,GK18,5,20,25,115,0,6.25
1800683,,,,,116,GK18,29,63,92,51,0,23
1800684,,,,,116,GK18,25,30,55,88,0,13.75
1800685,,,,,116,GK18,35,60,95,48,0,23.75
1800686,,,,,116,GK18,20,50,70,73,0,17.5
1800687,,,,,116,GK18,28,39,67,76,0,16.75
1800693,,,,,116,GK18,40,50,90,53,0,22.5
1800694,,,,,116,GK18,9,33,42,100,0,10.5
1800707,,,,,116,GK18,20,45,65,78,0,16.25
1800710,,,,,116,GK18,15,46,61,82,0,15.25
1800712,,,,,116,GK18,50,60,110,35,0,27.5
1800717,,,,,116,GK18,15,16,31,109,0,7.75
1800719,,,,,116,GK18,-3,30,27,113,0,6.75
1800721,,,,,116,GK18,15,10,25,115,0,6.25
1800724,,,,,116,GK18,25,77,102,41,0,25.5
1800726,,,,,116,GK18,35,65,100,43,0,25
1800728,,,,,116,GK18,25,95,120,25,0,30
1800729,,,,,116,GK18,33,69,102,41,0,25.5
1800744,,,,,116,GK18,30,85,115,30,0,28.75
1800747,,,,,116,GK18,19,54,73,70,0,18.25
1800755,,,,,116,GK18,30,30,60,83,0,15
1800758,,,,,116,GK18,16,59,75,68,0,18.75
1800760,,,,,116,GK18,1,43,44,99,0,11
1800763,,,,,116,GK18,44,76,120,25,0,30
1800768,,,,,116,GK18,59,57,116,29,0,29
1800770,,,,,116,GK18,45,61,106,38,0,26.5
1800771,,,,,116,GK18,-7,42,35,107,0,8.75
1800776,,,,,116,GK18,41,70,111,34,0,27.75
1800777,,,,,116,GK18,33,56,89,54,0,22.25
1800780,,,,,116,GK18,40,79,119,26,0,29.75
1800783,,,,,116,GK18,33,72,105,39,0,26.25
1800785,,,,,116,GK18,20,45,65,78,0,16.25
1800789,,,,,116,GK18,45,51,96,47,0,24
1800790,,,,,116,GK18,20,40,60,83,0,15
1800792,,,,,116,GK18,48,84,132,14,0,33
1800794,,,,,116,GK18,30,62,92,51,0,23
1800799,,,,,116,GK18,12,24,36,106,0,9
1800803,,,,,116,GK18,17,-5,12,126,0,3
1800812,,,,,116,GK18,40,61,101,42,0,25.25
1800813,,,,,116,GK18,60,45,105,39,0,26.25
1800817,,,,,116,GK18,32,76,108,36,0,27
1800818,,,,,116,GK18,9,27,36,106,0,9
1800819,,,,,116,GK18,51,44,95,48,0,23.75
1800823,,,,,116,GK18,40,70,110,35,0,27.5
1800827,,,,,116,GK18,25,20,45,98,0,11.25
1800830,,,,,116,GK18,-15,20,5,133,0,1.25
1800835,,,,,116,GK18,15,70,85,58,0,21.25
1800840,,,,,116,GK18,22,25,47,96,0,11.75
1800841,,,,,116,GK18,25,35,60,83,0,15
1800842,,,,,116,GK18,15,35,50,93,0,12.5
1800843,,,,,116,GK18,7,4,11,127,0,2.75
1800844,,,,,116,GK18,35,25,60,83,0,15
1800846,,,,,116,GK18,35,65,100,43,0,25
1800849,,,,,116,GK18,16,46,62,81,0,15.5
1800850,,,,,116,GK18,40,55,95,48,0,23.75
1800852,,,,,116,GK18,35,55,90,53,0,22.5
1800884,,,,,116,GK18,20,50,70,73,0,17.5
1800886,,,,,116,GK18,40,60,100,43,0,25
1800887,,,,,116,GK18,46,56,102,41,0,25.5
1800888,,,,,116,GK18,-5,17,12,126,0,3
1800889,,,,,116,GK18,30,26,56,87,0,14
1800892,,,,,116,GK18,15,42,57,86,0,14.25
1800894,,,,,116,GK18,65,65,130,16,0,32.5
1800895,,,,,116,GK18,40,45,85,58,0,21.25
1800898,,,,,116,GK18,55,40,95,48,0,23.75
1800905,,,,,116,GK18,5,15,20,119,0,5
1800908,,,,,116,GK18,35,25,60,83,0,15
1800920,,,,,116,GK18,14,24,38,104,0,9.5
1800923,,,,,116,GK18,66,35,101,42,0,25.25
1800925,,,,,116,GK18,20,21,41,101,0,10.25
1800926,,,,,116,GK18,35,50,85,58,0,21.25
1800927,,,,,116,GK18,20,55,75,68,0,18.75
1800928,,,,,116,GK18,22,77,99,44,0,24.75
1800929,,,,,116,GK18,34,64,98,45,0,24.5
1800930,,,,,116,GK18,25,30,55,88,0,13.75
1800931,,,,,116,GK18,20,45,65,78,0,16.25
1800935,,,,,116,GK18,30,25,55,88,0,13.75
1800936,,,,,116,GK18,20,40,60,83,0,15
1800937,,,,,116,GK18,20,55,75,68,0,18.75
1800939,,,,,116,GK18,20,45,65,78,0,16.25
1800942,,,,,116,GK18,15,-19,-4,140,0,0
1800943,,,,,116,GK18,46,50,96,47,0,24
1800945,,,,,116,GK18,39,28,67,76,0,16.75
1800950,,,,,116,GK18,30,40,70,73,0,17.5
1800953,,,,,116,GK18,40,45,85,58,0,21.25
1800954,,,,,116,GK18,26,30,56,87,0,14
1800955,,,,,116,GK18,55,67,122,23,0,30.5
1800956,,,,,116,GK18,35,25,60,83,0,15
1800957,,,,,116,GK18,15,29,44,99,0,11
1800958,,,,,116,GK18,40,30,70,73,0,17.5
1800959,,,,,116,GK18,58,55,113,32,0,28.25
1800960,,,,,116,GK18,30,80,110,35,0,27.5
1800962,,,,,116,GK18,53,58,111,34,0,27.75
1800964,,,,,116,GK18,48,49,97,46,0,24.25
1800965,,,,,116,GK18,-5,45,40,102,0,10
1800967,,,,,116,GK18,25,50,75,68,0,18.75
1800968,,,,,116,GK18,-4,12,8,130,0,2
1800971,,,,,116,GK18,25,25,50,93,0,12.5
1800972,,,,,116,GK18,-10,40,30,110,0,7.5
1800973,,,,,116,GK18,15,10,25,115,0,6.25
1800974,,,,,116,GK18,25,40,65,78,0,16.25
1800976,,,,,116,GK18,25,65,90,53,0,22.5
1800977,,,,,116,GK18,25,45,70,73,0,17.5
1800980,,,,,116,GK18,5,28,33,108,0,8.25
1800982,,,,,116,GK18,31,20,51,92,0,12.75
1800983,,,,,116,GK18,-5,26,21,118,0,5.25
1800984,,,,,116,GK18,-15,20,5,133,0,1.25
1800985,,,,,116,GK18,30,75,105,39,0,26.25
1800988,,,,,116,GK18,20,60,80,63,0,20
1800989,,,,,116,GK18,51,41,92,51,0,23
1800991,,,,,116,GK18,2,64,66,77,0,16.5
1800995,,,,,116,GK18,15,50,65,78,0,16.25
1800996,,,,,116,GK18,40,25,65,78,0,16.25
1801001,,,,,116,GK18,29,10,39,103,0,9.75
1801002,,,,,116,GK18,25,60,85,58,0,21.25
1801003,,,,,116,GK18,30,45,75,68,0,18.75
1801004,,,,,116,GK18,20,35,55,88,0,13.75
1801005,,,,,116,GK18,25,40,65,78,0,16.25
1801006,,,,,116,GK18,41,55,96,47,0,24
1801007,,,,,116,GK18,20,15,35,107,0,8.75
1801009,,,,,116,GK18,14,33,47,96,0,11.75
1801011,,,,,116,GK18,20,-15,5,133,0,1.25
1801013,,,,,116,GK18,12,5,17,122,0,4.25
1801014,,,,,116,GK18,34,51,85,58,0,21.25
1801016,,,,,116,GK18,55,70,125,20,0,31.25
1801017,,,,,116,GK18,30,59,89,54,0,22.25
1801019,,,,,116,GK18,30,35,65,78,0,16.25
1801020,,,,,116,GK18,25,90,115,30,0,28.75
1801021,,,,,116,GK18,15,50,65,78,0,16.25
1801022,,,,,116,GK18,55,60,115,30,0,28.75
1801023,,,,,116,GK18,30,20,50,93,0,12.5
1801024,,,,,116,GK18,35,50,85,58,0,21.25
1801025,,,,,116,GK18,15,16,31,109,0,7.75
1801027,,,,,116,GK18,33,51,84,59,0,21
1801029,,,,,116,GK18,15,52,67,76,0,16.75
1801032,,,,,116,GK18,13,38,51,92,0,12.75
1801036,,,,,116,GK18,6,25,31,109,0,7.75
1801038,,,,,116,GK18,-5,40,35,107,0,8.75
1801039,,,,,116,GK18,5,47,52,91,0,13
1801040,,,,,116,GK18,5,40,45,98,0,11.25
1801041,,,,,116,GK18,-1,29,28,112,0,7
1801044,,,,,116,GK18,55,60,115,30,0,28.75
1801048,,,,,116,GK18,20,35,55,88,0,13.75
1801049,,,,,116,GK18,10,45,55,88,0,13.75
1801053,,,,,116,GK18,30,47,77,66,0,19.25
1801055,,,,,116,GK18,16,28,44,99,0,11
1801056,,,,,116,GK18,25,75,100,43,0,25
1801058,,,,,116,GK18,9,37,46,97,0,11.5
1801060,,,,,116,GK18,27,31,58,85,0,14.5
1801062,,,,,116,GK18,30,16,46,97,0,11.5
1801063,,,,,116,GK18,-13,73,60,83,0,15
1801065,,,,,116,GK18,40,20,60,83,0,15
1801067,,,,,116,GK18,15,15,30,110,0,7.5
1801068,,,,,116,GK18,50,61,111,34,0,27.75
1801073,,,,,116,GK18,40,25,65,78,0,16.25
1801077,,,,,116,GK18,3,63,66,77,0,16.5
1801078,,,,,116,GK18,36,48,84,59,0,21
1801079,,,,,116,GK18,18,69,87,56,0,21.75
1801081,,,,,116,GK18,5,50,55,88,0,13.75
1801083,,,,,116,GK18,25,25,50,93,0,12.5
1801088,,,,,116,GK18,15,45,60,83,0,15
1801090,,,,,116,GK18,45,75,120,25,0,30
1801094,,,,,116,GK18,14,65,79,64,0,19.75
1801096,,,,,116,GK18,23,58,81,62,0,20.25
1801097,,,,,116,GK18,0,30,30,110,0,7.5
11099_1,,,,,116,GK18,1,50,51,92,0,12.75
1801101,,,,,116,GK18,-5,25,20,119,0,5
1801103,,,,,116,GK18,7,58,65,78,0,16.25
1801104,,,,,116,GK18,5,30,35,107,0,8.75
1801106,,,,,116,GK18,13,49,62,81,0,15.5
1801108,,,,,116,GK18,-5,6,1,135,0,0.25
1801109,,,,,116,GK18,10,63,73,70,0,18.25
11111_1,,,,,116,GK18,32,50,82,61,0,20.5
1801112,,,,,116,GK18,53,65,118,27,0,29.5
11113_1,,,,,116,GK18,29,47,76,67,0,19
11114_1,,,,,116,GK18,25,35,60,83,0,15
1801117,,,,,116,GK18,50,54,104,40,0,26
1801120,,,,,116,GK18,3,35,38,104,0,9.5
1801121,,,,,116,GK18,25,46,71,72,0,17.75
1801123,,,,,116,GK18,5,50,55,88,0,13.75
1801124,,,,,116,GK18,39,47,86,57,0,21.5
1801125,,,,,116,GK18,30,35,65,78,0,16.25
1801126,,,,,116,GK18,40,66,106,38,0,26.5
1801127,,,,,116,GK18,22,65,87,56,0,21.75
1801128,,,,,116,GK18,20,70,90,53,0,22.5
1801129,,,,,116,GK18,25,56,81,62,0,20.25
1801130,,,,,116,GK18,19,29,48,95,0,12
1801132,,,,,116,GK18,25,65,90,53,0,22.5
1801133,,,,,116,GK18,26,33,59,84,0,14.75
1801134,,,,,116,GK18,10,60,70,73,0,17.5
1801135,,,,,116,GK18,0,20,20,119,0,5
1801136,,,,,116,GK18,48,22,70,73,0,17.5
1801137,,,,,116,GK18,9,40,49,94,0,12.25
1801139,,,,,116,GK18,10,25,35,107,0,8.75
1801141,,,,,116,GK18,24,36,60,83,0,15
1801142,,,,,116,GK18,23,43,66,77,0,16.5
1801143,,,,,116,GK18,20,50,70,73,0,17.5
1801144,,,,,116,GK18,32,60,92,51,0,23
1801146,,,,,116,GK18,25,50,75,68,0,18.75
1801148,,,,,116,GK18,15,30,45,98,0,11.25
1801152,,,,,116,GK18,23,56,79,64,0,19.75
1801154,,,,,116,GK18,51,80,131,15,0,32.75
1801160,,,,,116,GK18,35,50,85,58,0,21.25
1801162,,,,,116,GK18,5,40,45,98,0,11.25
1801171,,,,,116,GK18,55,86,141,8,0,35.25
1801172,,,,,116,GK18,30,46,76,67,0,19
