candidate id,candidate name,father,group,other,test id,test,current affairs,general science,total,test rank,group rank,percentage
1801173,,,,,116,GK18,14,41,55,88,0,13.75
1801174,,,,,116,GK18,20,60,80,63,0,20
1801180,,,,,116,GK18,1,46,47,96,0,11.75
1801181,,,,,116,GK18,20,100,120,25,0,30
1801182,,,,,116,GK18,30,50,80,63,0,20
1801183,,,,,116,GK18,38,76,114,31,0,28.5
1801184,,,,,116,GK18,60,80,140,9,0,35
1801185,,,,,116,GK18,39,59,98,45,0,24.5
1801191,,,,,116,GK18,25,64,89,54,0,22.25
1801192,,,,,116,GK18,55,60,115,30,0,28.75
1801193,,,,,116,GK18,35,65,100,43,0,25
1801194,,,,,116,GK18,19,44,63,80,0,15.75
1801195,,,,,116,GK18,10,60,70,73,0,17.5
1801198,,,,,116,GK18,20,40,60,83,0,15
1801199,,,,,116,GK18,20,40,60,83,0,15
1801201,,,,,116,GK18,25,65,90,53,0,22.5
1801202,,,,,116,GK18,22,76,98,45,0,24.5
1801203,,,,,116,GK18,55,50,105,39,0,26.25
1801204,,,,,116,GK18,15,25,40,102,0,10
1801205,,,,,116,GK18,21,49,70,73,0,17.5
1801210,,,,,116,GK18,12,47,59,84,0,14.75
1801214,,,,,116,GK18,40,51,91,52,0,22.75
1801216,,,,,116,GK18,27,35,62,81,0,15.5
1801218,,,,,116,GK18,-5,45,40,102,0,10
1801222,,,,,116,GK18,40,65,105,39,0,26.25
1801225,,,,,116,GK18,45,47,92,51,0,23
1801228,,,,,116,GK18,30,17,47,96,0,11.75
1801229,,,,,116,GK18,30,60,90,53,0,22.5
1801230,,,,,116,GK18,-7,6,-1,137,0,0
1801231,,,,,116,GK18,26,31,57,86,0,14.25
1801232,,,,,116,GK18,41,71,112,33,0,28
1801234,,,,,116,GK18,20,21,41,101,0,10.25
1801235,,,,,116,GK18,45,40,85,58,0,21.25
1801236,,,,,116,GK18,60,65,125,20,0,31.25
1801237,,,,,116,GK18,18,37,55,88,0,13.75
1801238,,,,,116,GK18,1,41,42,100,0,10.5
1801239,,,,,116,GK18,30,40,70,73,0,17.5
1801240,,,,,116,GK18,26,45,71,72,0,17.75
1801241,,,,,116,GK18,14,37,51,92,0,12.75
1801244,,,,,116,GK18,-4,14,10,128,0,2.5
1801245,,,,,116,GK18,30,25,55,88,0,13.75
1801247,,,,,116,GK18,20,20,40,102,0,10
1801249,,,,,116,GK18,3,49,52,91,0,13
1801251,,,,,116,GK18,55,87,142,7,0,35.5
1801253,,,,,116,GK18,20,35,55,88,0,13.75
1801254,,,,,116,GK18,30,65,95,48,0,23.75
1801255,,,,,116,GK18,37,54,91,52,0,22.75
1801256,,,,,116,GK18,0,35,35,107,0,8.75
1801257,,,,,116,GK18,50,95,145,5,0,36.25
1801258,,,,,116,GK18,10,50,60,83,0,15
1801260,,,,,116,GK18,29,92,121,24,0,30.25
1801261,,,,,116,GK18,8,51,59,84,0,14.75
1801262,,,,,116,GK18,31,61,92,51,0,23
1801264,,,,,116,GK18,50,75,125,20,0,31.25
1801265,,,,,116,GK18,66,54,120,25,0,30
1801266,,,,,116,GK18,38,40,78,65,0,19.5
1801267,,,,,116,GK18,3,56,59,84,0,14.75
1801268,,,,,116,GK18,30,41,71,72,0,17.75
1801271,,,,,116,GK18,35,-4,31,109,0,7.75
1801272,,,,,116,GK18,30,55,85,58,0,21.25
1801273,,,,,116,GK18,10,47,57,86,0,14.25
1801275,,,,,116,GK18,35,70,105,39,0,26.25
1801276,,,,,116,GK18,50,67,117,28,0,29.25
1801277,,,,,116,GK18,20,45,65,78,0,16.25
1801278,,,,,116,GK18,11,71,82,61,0,20.5
1801279,,,,,116,GK18,5,40,45,98,0,11.25
1801282,,,,,116,GK18,37,69,106,38,0,26.5
1801284,,,,,116,GK18,35,105,140,9,0,35
1801287,,,,,116,GK18,40,30,70,73,0,17.5
1801289,,,,,116,GK18,42,47,89,54,0,22.25
1801293,,,,,116,GK18,27,38,65,78,0,16.25
1801298,,,,,116,GK18,50,25,75,68,0,18.75
1801299,,,,,116,GK18,25,54,79,64,0,19.75
1801300,,,,,116,GK18,16,40,56,87,0,14
1801301,,,,,116,GK18,34,43,77,66,0,19.25
1801302,,,,,116,GK18,25,25,50,93,0,12.5
1801309,,,,,116,GK18,18,10,28,112,0,7
1801314,,,,,116,GK18,45,60,105,39,0,26.25
1801317,,,,,116,GK18,10,64,74,69,0,18.5
1801318,,,,,116,GK18,27,50,77,66,0,19.25
1801320,,,,,116,GK18,35,30,65,78,0,16.25
1801321,,,,,116,GK18,25,50,75,68,0,18.75
1801323,,,,,116,GK18,40,81,121,24,0,30.25
1801324,,,,,116,GK18,55,75,130,16,0,32.5
1801325,,,,,116,GK18,2,18,20,119,0,5
1801326,,,,,116,GK18,7,31,38,104,0,9.5
1801327,,,,,116,GK18,20,55,75,68,0,18.75
1801330,,,,,116,GK18,-2,48,46,97,0,11.5
1801333,,,,,116,GK18,17,50,67,76,0,16.75
1801335,,,,,116,GK18,58,84,142,7,0,35.5
1801336,,,,,116,GK18,6,51,57,86,0,14.25
1801338,,,,,116,GK18,32,26,58,85,0,14.5
1801345,,,,,116,GK18,10,75,85,58,0,21.25
1801346,,,,,116,GK18,20,10,30,110,0,7.5
1801349,,,,,116,GK18,14,45,59,84,0,14.75
1801351,,,,,116,GK18,-9,40,31,109,0,7.75
1801353,,,,,116,GK18,17,59,76,67,0,19
1801356,,,,,116,GK18,10,16,26,114,0,6.5
1801358,,,,,116,GK18,50,70,120,25,0,30
1801359,,,,,116,GK18,40,70,110,35,0,27.5
1801362,,,,,116,GK18,8,57,65,78,0,16.25
1801363,,,,,116,GK18,-18,-8,-26,145,0,0
1801364,,,,,116,GK18,2,2,4,134,0,1
1801365,,,,,116,GK18,25,35,60,83,0,15
1801366,,,,,116,GK18,25,20,45,98,0,11.25
1801367,,,,,116,GK18,40,26,66,77,0,16.5
1801368,,,,,116,GK18,15,45,60,83,0,15
1801372,,,,,116,GK18,42,52,94,49,0,23.5
1801373,,,,,116,GK18,35,54,89,54,0,22.25
1801376,,,,,116,GK18,32,85,117,28,0,29.25
1801377,,,,,116,GK18,24,80,104,40,0,26
1801379,,,,,116,GK18,20,10,30,110,0,7.5
1801380,,,,,116,GK18,36,30,66,77,0,16.5
1801381,,,,,116,GK18,23,50,73,70,0,18.25
1801382,,,,,116,GK18,25,55,80,63,0,20
1801383,,,,,116,GK18,20,40,60,83,0,15
1801385,,,,,116,GK18,-15,5,-10,143,0,0
1801387,,,,,116,GK18,35,25,60,83,0,15
1801388,,,,,116,GK18,31,45,76,67,0,19
1801389,,,,,116,GK18,40,40,80,63,0,20
1801391,,,,,116,GK18,25,51,76,67,0,19
1801392,,,,,116,GK18,43,92,135,11,0,33.75
1801393,,,,,116,GK18,41,56,97,46,0,24.25
1801394,,,,,116,GK18,8,58,66,77,0,16.5
1801396,,,,,116,GK18,13,46,59,84,0,14.75
1801398,,,,,116,GK18,26,25,51,92,0,12.75
1801400,,,,,116,GK18,9,8,17,122,0,4.25
1801401,,,,,116,GK18,28,76,104,40,0,26
1801402,,,,,116,GK18,0,31,31,109,0,7.75
1801403,,,,,116,GK18,-8,5,-3,139,0,0
1801405,,,,,116,GK18,20,35,55,88,0,13.75
1801408,,,,,116,GK18,6,20,26,114,0,6.5
1801409,,,,,116,GK18,15,52,67,76,0,16.75
1801410,,,,,116,GK18,60,35,95,48,0,23.75
1801412,,,,,116,GK18,35,36,71,72,0,17.75
1801414,,,,,116,GK18,20,20,40,102,0,10
1801417,,,,,116,GK18,25,45,70,73,0,17.5
1801419,,,,,116,GK18,60,25,85,58,0,21.25
1801420,,,,,116,GK18,30,35,65,78,0,16.25
1801423,,,,,116,GK18,10,25,35,107,0,8.75
1801424,,,,,116,GK18,30,30,60,83,0,15
1801427,,,,,116,GK18,5,55,60,83,0,15
1801429,,,,,116,GK18,23,40,63,80,0,15.75
1801430,,,,,116,GK18,15,40,55,88,0,13.75
1801432,,,,,116,GK18,45,75,120,25,0,30
1801433,,,,,116,GK18,65,30,95,48,0,23.75
1801435,,,,,116,GK18,20,77,97,46,0,24.25
1801436,,,,,116,GK18,50,50,100,43,0,25
1801437,,,,,116,GK18,32,38,70,73,0,17.5
1801443,,,,,116,GK18,31,67,98,45,0,24.5
1801444,,,,,116,GK18,30,52,82,61,0,20.5
1801446,,,,,116,GK18,41,60,101,42,0,25.25
1801449,,,,,116,GK18,20,35,55,88,0,13.75
1801460,,,,,116,GK18,25,43,68,75,0,17
1801473,,,,,116,GK18,35,35,70,73,0,17.5
1801480,,,,,116,GK18,25,34,59,84,0,14.75
1801481,,,,,116,GK18,32,46,78,65,0,19.5
1801482,,,,,116,GK18,0,13,13,125,0,3.25
1801484,,,,,116,GK18,15,30,45,98,0,11.25
1801485,,,,,116,GK18,21,40,61,82,0,15.25
1801487,,,,,116,GK18,5,45,50,93,0,12.5
1801488,,,,,116,GK18,50,55,105,39,0,26.25
1801489,,,,,116,GK18,15,52,67,76,0,16.75
1801490,,,,,116,GK18,0,50,50,93,0,12.5
1801491,,,,,116,GK18,42,73,115,30,0,28.75
1801492,,,,,116,GK18,35,64,99,44,0,24.75
1801493,,,,,116,GK18,5,10,15,123,0,3.75
1801494,,,,,116,GK18,27,28,55,88,0,13.75
1801497,,,,,116,GK18,41,48,89,54,0,22.25
1801498,,,,,116,GK18,15,51,66,77,0,16.5
1801499,,,,,116,GK18,21,33,54,89,0,13.5
1801501,,,,,116,GK18,31,35,66,77,0,16.5
1801502,,,,,116,GK18,38,50,88,55,0,22
1801509,,,,,116,GK18,30,44,74,69,0,18.5
1801510,,,,,116,GK18,26,80,106,38,0,26.5
1801511,,,,,116,GK18,20,45,65,78,0,16.25
1801514,,,,,116,GK18,0,40,40,102,0,10
1801515,,,,,116,GK18,20,40,60,83,0,15
1801516,,,,,116,GK18,16,15,31,109,0,7.75
1801517,,,,,116,GK18,30,76,106,38,0,26.5
1801518,,,,,116,GK18,33,13,46,97,0,11.5
1801519,,,,,116,GK18,-5,1,-4,140,0,0
1801520,,,,,116,GK18,19,67,86,57,0,21.5
1801521,,,,,116,GK18,30,86,116,29,0,29
1801522,,,,,116,GK18,35,96,131,15,0,32.75
1801523,,,,,116,GK18,48,65,113,32,0,28.25
1801524,,,,,116,GK18,36,40,76,67,0,19
1801525,,,,,116,GK18,40,50,90,53,0,22.5
1801526,,,,,116,GK18,46,50,96,47,0,24
1801527,,,,,116,GK18,41,50,91,52,0,22.75
1801528,,,,,116,GK18,-3,-4,-7,141,0,0
1801530,,,,,116,GK18,39,88,127,18,0,31.75
1801531,,,,,116,GK18,5,10,15,123,0,3.75
1801534,,,,,116,GK18,29,45,74,69,0,18.5
1801535,,,,,116,GK18,27,38,65,78,0,16.25
1801536,,,,,116,GK18,13,28,41,101,0,10.25
1801537,,,,,116,GK18,16,60,76,67,0,19
1801538,,,,,116,GK18,22,85,107,37,0,26.75
1801540,,,,,116,GK18,7,38,45,98,0,11.25
1801541,,,,,116,GK18,20,56,76,67,0,19
1801544,,,,,116,GK18,16,12,28,112,0,7
1801547,,,,,116,GK18,67,62,129,17,0,32.25
1801550,,,,,116,GK18,53,76,129,17,0,32.25
1801551,,,,,116,GK18,35,40,75,68,0,18.75
1801553,,,,,116,GK18,34,78,112,33,0,28
1801555,,,,,116,GK18,0,7,7,131,0,1.75
1801556,,,,,116,GK18,25,20,45,98,0,11.25
1801558,,,,,116,GK18,16,31,47,96,0,11.75
1801559,,,,,116,GK18,30,65,95,48,0,23.75
1801560,,,,,116,GK18,10,-1,9,129,0,2.25
1801561,,,,,116,GK18,25,20,45,98,0,11.25
1801563,,,,,116,GK18,14,63,77,66,0,19.25
1801565,,,,,116,GK18,35,70,105,39,0,26.25
1801566,,,,,116,GK18,-5,30,25,115,0,6.25
1801568,,,,,116,GK18,16,26,42,100,0,10.5
1801571,,,,,116,GK18,34,26,60,83,0,15
1801573,,,,,116,GK18,46,47,93,50,0,23.25
1801575,,,,,116,GK18,55,75,130,16,0,32.5
1801576,,,,,116,GK18,41,52,93,50,0,23.25
1801577,,,,,116,GK18,45,70,115,30,0,28.75
