candidate id,candidate name,father,group,other,test id,test,current affairs,general science,total,test rank,group rank,percentage
1804040,,,,,123,GK2019,38,33,71,61,0,22.188
1804147,,,,,123,GK2019,35,20,55,77,0,17.188
1804152,,,,,123,GK2019,25,50,75,57,0,23.438
1804157,,,,,123,GK2019,5,50,55,77,0,17.188
1804158,,,,,123,GK2019,32,31,63,69,0,19.688
1804159,,,,,123,GK2019,55,35,90,42,0,28.125
1804163,,,,,123,GK2019,15,35,50,82,0,15.625
1804164,,,,,123,GK2019,33,19,52,80,0,16.25
1804165,,,,,123,GK2019,32,59,91,41,0,28.438
1804166,,,,,123,GK2019,16,46,62,70,0,19.375
1804167,,,,,123,GK2019,15,15,30,102,0,9.375
1804169,,,,,123,GK2019,20,30,50,82,0,15.625
1804171,,,,,123,GK2019,0,45,45,87,0,14.062
1804172,,,,,123,GK2019,46,15,61,71,0,19.062
1804173,,,,,123,GK2019,15,65,80,52,0,25
1804174,,,,,123,GK2019,-1,44,43,89,0,13.438
1804175,,,,,123,GK2019,18,-2,16,114,0,5
1804177,,,,,123,GK2019,40,59,99,34,0,30.938
1804178,,,,,123,GK2019,17,18,35,97,0,10.938
1804179,,,,,123,GK2019,50,55,105,29,0,32.812
1804180,,,,,123,GK2019,13,22,35,97,0,10.938
1804182,,,,,123,GK2019,30,28,58,74,0,18.125
1804184,,,,,123,GK2019,3,42,45,87,0,14.062
1804185,,,,,123,GK2019,40,65,105,29,0,32.812
1804186,,,,,123,GK2019,-10,25,15,115,0,4.688
1804187,,,,,123,GK2019,27,14,41,91,0,12.812
1804188,,,,,123,GK2019,24,38,62,70,0,19.375
1804189,,,,,123,GK2019,5,15,20,110,0,6.25
1804190,,,,,123,GK2019,35,20,55,77,0,17.188
1804192,,,,,123,GK2019,16,20,36,96,0,11.25
1804196,,,,,123,GK2019,35,45,80,52,0,25
1804197,,,,,123,GK2019,45,45,90,42,0,28.125
1804198,,,,,123,GK2019,45,21,66,66,0,20.625
1804199,,,,,123,GK2019,30,50,80,52,0,25
1804200,,,,,123,GK2019,31,1,32,100,0,10
